Sales Person,Country,Product,Date,Amount,Boxes Shipped,Price_Per_Box,Year,Month_Name,Quarter
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037.0,102,88.6,2022,July,Q3
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,12313.0,103,119.54,2022,March,Q1
Gigi Bohling,UK,Almond Choco,2022-01-10,5642.0,9,626.89,2022,January,Q1
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800.0,241,11.62,2022,March,Q1
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959.0,265,3.62,2022,June,Q2
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002.0,214,9.36,2022,August,Q3
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32,19.03,2022,July,Q3
Camilla Castle,USA,Spicy Special Slims,2022-02-11,1274.0,244,5.22,2022,February,Q1
Marney O'Breen,USA,Orange Choco,2022-01-27,7595.0,181,41.96,2022,January,Q1
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725.0,137,34.49,2022,January,Q1
Camilla Castle,USA,White Choc,2022-08-18,9681.0,24,403.38,2022,August,Q3
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504.0,21,690.67,2022,June,Q2
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311,0.9,2022,August,Q3
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63.0,181,0.35,2022,August,Q3
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001.0,10,800.1,2022,May,Q2
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,4032.0,82,49.17,2022,January,Q1
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859.0,108,54.25,2022,February,Q1
Karlen McCaffrey,USA,Orange Choco,2022-05-12,11095.0,401,27.67,2022,May,Q2
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182.0,408,17.6,2022,March,Q1
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881.0,420,16.38,2022,April,Q2
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154.0,348,20.56,2022,January,Q1
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188.0,270,22.92,2022,March,Q1
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9,469.0,2022,July,Q3
Van Tuxwell,USA,After Nines,2022-07-26,630.0,264,2.39,2022,July,Q3
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111,15.7,2022,July,Q3
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65,44.91,2022,July,Q3
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,49.0,97,0.51,2022,April,Q2
Beverie Moffet,Australia,Eclairs,2022-06-20,1827.0,6,304.5,2022,June,Q2
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006.0,482,26.98,2022,June,Q2
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064.0,106,10.04,2022,June,Q2
Husein Augar,USA,After Nines,2022-04-08,11571.0,180,64.28,2022,April,Q2
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31,185.16,2022,March,Q1
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456.0,359,4.06,2022,July,Q3
Kelci Walkden,India,Eclairs,2022-04-19,5334.0,80,66.68,2022,April,Q2
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151.0,296,14.02,2022,March,Q1
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106.0,101,80.26,2022,March,Q1
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126.0,40,3.15,2022,August,Q3
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697.0,42,111.83,2022,August,Q3
Marney O'Breen,USA,Almond Choco,2022-02-25,7798.0,167,46.69,2022,February,Q1
Kelci Walkden,India,Orange Choco,2022-06-07,9408.0,138,68.17,2022,June,Q2
Jan Morforth,India,Spicy Special Slims,2022-04-12,1939.0,520,3.73,2022,April,Q2
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906.0,94,116.02,2022,July,Q3
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929.0,175,33.88,2022,January,Q1
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579.0,92,60.64,2022,January,Q1
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141,77.5,2022,January,Q1
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,623.0,283,2.2,2022,April,Q2
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013.0,21,286.33,2022,June,Q2
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505.0,47,32.02,2022,January,Q1
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125,3.81,2022,March,Q1
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396,29.17,2022,February,Q1
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318.0,87,199.06,2022,February,Q1
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27,68.44,2022,January,Q1
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,547,13.3,2022,March,Q1
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854.0,118,7.24,2022,June,Q2
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832.0,46,148.52,2022,April,Q2
Kelci Walkden,UK,Eclairs,2022-01-25,4606.0,57,80.81,2022,January,Q1
Jan Morforth,India,Almond Choco,2022-03-11,4466.0,22,203.0,2022,March,Q1
Dotty Strutley,UK,Almond Choco,2022-07-28,16114.0,96,167.85,2022,July,Q3
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561.0,44,35.48,2022,March,Q1
Husein Augar,Australia,Orange Choco,2022-06-28,8897.0,188,47.32,2022,June,Q2
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387,6.37,2022,July,Q3
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50,96.6,2022,August,Q3
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765.0,264,10.47,2022,January,Q1
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7,1018.0,2022,March,Q1
Van Tuxwell,UK,Milk Bars,2022-07-25,4263.0,90,47.37,2022,July,Q3
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605.0,403,8.95,2022,August,Q3
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,19929.0,174,114.53,2022,May,Q2
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103.0,140,36.45,2022,August,Q3
Jan Morforth,India,Eclairs,2022-01-05,2541.0,27,94.11,2022,January,Q1
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,5663.0,110,51.48,2022,July,Q3
Wilone O'Kielt,USA,After Nines,2022-04-25,392.0,30,13.07,2022,April,Q2
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.0,121,90.71,2022,April,Q2
Barr Faughny,USA,Raspberry Choco,2022-04-12,9282.0,101,91.9,2022,April,Q2
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827.0,117,15.62,2022,August,Q3
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,8267.0,272,30.39,2022,June,Q2
Ches Bonnell,Australia,Eclairs,2022-07-05,4116.0,128,32.16,2022,July,Q3
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,2093.0,45,46.51,2022,June,Q2
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015.0,27,37.59,2022,January,Q1
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,12516.0,212,59.04,2022,January,Q1
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758.0,18,153.22,2022,January,Q1
Kelci Walkden,India,Almond Choco,2022-03-14,3297.0,149,22.13,2022,March,Q1
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048.0,477,12.68,2022,April,Q2
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,10101.0,108,93.53,2022,February,Q1
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,2282.0,178,12.82,2022,March,Q1
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361.0,81,53.84,2022,March,Q1
Karlen McCaffrey,UK,Eclairs,2022-01-25,7798.0,196,39.79,2022,January,Q1
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,3052.0,447,6.83,2022,June,Q2
Gigi Bohling,UK,After Nines,2022-03-29,8029.0,175,45.88,2022,March,Q1
Curtice Advani,Australia,Orange Choco,2022-07-12,854.0,136,6.28,2022,July,Q3
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,5460.0,138,39.57,2022,July,Q3
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017.0,184,16.4,2022,January,Q1
Andria Kimpton,USA,85% Dark Bars,2022-04-05,8911.0,82,108.67,2022,April,Q2
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203.0,12,600.25,2022,February,Q1
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,13083.0,14,934.5,2022,May,Q2
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779.0,104,26.72,2022,July,Q3
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,9058.0,46,196.91,2022,January,Q1
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,3549.0,112,31.69,2022,July,Q3
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,9436.0,11,857.82,2022,April,Q2
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,10283.0,21,489.67,2022,February,Q1
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,5446.0,116,46.95,2022,March,Q1
Ches Bonnell,Australia,White Choc,2022-03-02,1043.0,202,5.16,2022,March,Q1
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586.0,6,2097.67,2022,July,Q3
Kelci Walkden,India,After Nines,2022-01-07,1687.0,520,3.24,2022,January,Q1
Brien Boise,UK,White Choc,2022-04-12,5299.0,167,31.73,2022,April,Q2
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213.0,72,44.62,2022,June,Q2
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194.0,418,12.43,2022,January,Q1
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,4753.0,389,12.22,2022,February,Q1
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706.0,26,527.15,2022,March,Q1
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,6489.0,146,44.45,2022,January,Q1
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,9324.0,41,227.41,2022,March,Q1
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,10829.0,54,200.54,2022,January,Q1
Barr Faughny,Australia,White Choc,2022-07-04,8113.0,370,21.93,2022,July,Q3
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,3269.0,176,18.57,2022,July,Q3
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,273.0,210,1.3,2022,August,Q3
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,7287.0,12,607.25,2022,April,Q2
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583.0,159,16.25,2022,February,Q1
Camilla Castle,UK,White Choc,2022-01-03,9982.0,187,53.38,2022,January,Q1
Karlen McCaffrey,India,Drinking Coco,2022-05-31,4795.0,233,20.58,2022,May,Q2
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,9310.0,282,33.01,2022,January,Q1
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497.0,475,1.05,2022,January,Q1
Barr Faughny,UK,50% Dark Bites,2022-01-28,581.0,65,8.94,2022,January,Q1
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,3472.0,311,11.16,2022,June,Q2
Husein Augar,UK,Choco Coated Almonds,2022-03-02,4333.0,43,100.77,2022,March,Q1
Wilone O'Kielt,Australia,After Nines,2022-05-27,3325.0,26,127.88,2022,May,Q2
Dennison Crosswaite,USA,Almond Choco,2022-06-30,11718.0,84,139.5,2022,June,Q2
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,2100.0,78,26.92,2022,June,Q2
Kaine Padly,USA,70% Dark Bites,2022-05-12,4018.0,100,40.18,2022,May,Q2
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,6468.0,66,98.0,2022,July,Q3
Dennison Crosswaite,UK,White Choc,2022-08-03,7238.0,265,27.31,2022,August,Q3
Barr Faughny,India,Baker's Choco Chips,2022-08-18,6454.0,141,45.77,2022,August,Q3
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,3115.0,42,74.17,2022,June,Q2
Beverie Moffet,UK,White Choc,2022-06-30,6475.0,76,85.2,2022,June,Q2
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,1162.0,190,6.12,2022,June,Q2
Ches Bonnell,UK,Orange Choco,2022-04-27,14238.0,54,263.67,2022,April,Q2
Jan Morforth,Australia,White Choc,2022-07-27,3472.0,32,108.5,2022,July,Q3
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,1428.0,424,3.37,2022,April,Q2
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,8064.0,134,60.18,2022,January,Q1
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,9660.0,92,105.0,2022,February,Q1
Karlen McCaffrey,Australia,White Choc,2022-01-05,7357.0,48,153.27,2022,January,Q1
Beverie Moffet,India,Drinking Coco,2022-07-15,6055.0,46,131.63,2022,July,Q3
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,5124.0,62,82.65,2022,May,Q2
Karlen McCaffrey,Canada,Eclairs,2022-04-20,3479.0,358,9.72,2022,April,Q2
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,784.0,249,3.15,2022,June,Q2
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,18991.0,88,215.81,2022,May,Q2
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,1372.0,144,9.53,2022,August,Q3
Beverie Moffet,Australia,Milk Bars,2022-05-25,735.0,390,1.88,2022,May,Q2
Van Tuxwell,UK,Raspberry Choco,2022-03-16,6538.0,79,82.76,2022,March,Q1
Jan Morforth,Australia,Orange Choco,2022-07-04,3199.0,122,26.22,2022,July,Q3
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,3472.0,135,25.72,2022,July,Q3
Madelene Upcott,USA,After Nines,2022-03-15,4571.0,430,10.63,2022,March,Q1
Barr Faughny,UK,Raspberry Choco,2022-08-22,5481.0,69,79.43,2022,August,Q3
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,3136.0,125,25.09,2022,January,Q1
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,252.0,154,1.64,2022,June,Q2
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,5460.0,286,19.09,2022,March,Q1
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395.0,99,34.29,2022,July,Q3
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,14938.0,433,34.5,2022,April,Q2
Roddy Speechley,India,Orange Choco,2022-06-27,4053.0,19,213.32,2022,June,Q2
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,5565.0,258,21.57,2022,April,Q2
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,7161.0,92,77.84,2022,March,Q1
Madelene Upcott,USA,Eclairs,2022-03-18,8883.0,200,44.42,2022,March,Q1
Brien Boise,India,Eclairs,2022-04-29,1351.0,61,22.15,2022,April,Q2
Mallorie Waber,New Zealand,White Choc,2022-02-25,3171.0,246,12.89,2022,February,Q1
Husein Augar,USA,Milk Bars,2022-03-02,854.0,56,15.25,2022,March,Q1
Van Tuxwell,Australia,Milk Bars,2022-06-20,7910.0,87,90.92,2022,June,Q2
Beverie Moffet,Canada,White Choc,2022-07-15,9275.0,173,53.61,2022,July,Q3
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,3108.0,252,12.33,2022,May,Q2
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,5075.0,256,19.82,2022,July,Q3
Husein Augar,USA,85% Dark Bars,2022-08-08,378.0,54,7.0,2022,August,Q3
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350.0,6,1225.0,2022,July,Q3
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,3388.0,55,61.6,2022,May,Q2
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,11837.0,277,42.73,2022,July,Q3
Curtice Advani,India,70% Dark Bites,2022-07-05,2282.0,44,51.86,2022,July,Q3
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,5425.0,96,56.51,2022,July,Q3
Dotty Strutley,UK,70% Dark Bites,2022-06-20,1267.0,216,5.87,2022,June,Q2
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752.0,424,8.85,2022,January,Q1
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,7728.0,37,208.86,2022,July,Q3
Gigi Bohling,USA,50% Dark Bites,2022-04-13,2296.0,59,38.92,2022,April,Q2
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,4403.0,76,57.93,2022,May,Q2
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,3192.0,109,29.28,2022,August,Q3
Beverie Moffet,India,70% Dark Bites,2022-06-01,448.0,146,3.07,2022,June,Q2
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,4270.0,185,23.08,2022,April,Q2
Kaine Padly,USA,50% Dark Bites,2022-08-03,70.0,27,2.59,2022,August,Q3
Ches Bonnell,USA,Orange Choco,2022-06-10,1743.0,69,25.26,2022,June,Q2
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,6762.0,46,147.0,2022,June,Q2
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,3745.0,170,22.03,2022,January,Q1
Marney O'Breen,India,After Nines,2022-07-11,2639.0,179,14.74,2022,July,Q3
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,4389.0,126,34.83,2022,August,Q3
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,2604.0,65,40.06,2022,January,Q1
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,16569.0,99,167.36,2022,March,Q1
Mallorie Waber,Australia,Orange Choco,2022-03-07,14658.0,275,53.3,2022,March,Q1
Husein Augar,India,70% Dark Bites,2022-05-09,6454.0,157,41.11,2022,May,Q2
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,2100.0,157,13.38,2022,May,Q2
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,161.0,145,1.11,2022,April,Q2
Gigi Bohling,Australia,Drinking Coco,2022-07-27,2807.0,139,20.19,2022,July,Q3
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,2639.0,406,6.5,2022,August,Q3
Ches Bonnell,USA,70% Dark Bites,2022-05-11,4571.0,122,37.47,2022,May,Q2
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,4781.0,38,125.82,2022,January,Q1
Barr Faughny,USA,50% Dark Bites,2022-04-14,13034.0,117,111.4,2022,April,Q2
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,6454.0,417,15.48,2022,April,Q2
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,8484.0,57,148.84,2022,June,Q2
Brien Boise,Canada,Almond Choco,2022-04-13,4781.0,125,38.25,2022,April,Q2
Beverie Moffet,Australia,White Choc,2022-06-27,2240.0,166,13.49,2022,June,Q2
Dotty Strutley,Australia,Eclairs,2022-01-26,6979.0,3,2326.33,2022,January,Q1
Barr Faughny,UK,White Choc,2022-07-05,1652.0,72,22.94,2022,July,Q3
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,13447.0,95,141.55,2022,January,Q1
Kelci Walkden,USA,White Choc,2022-03-07,9422.0,22,428.27,2022,March,Q1
Kaine Padly,Canada,50% Dark Bites,2022-03-04,8687.0,100,86.87,2022,March,Q1
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,2415.0,312,7.74,2022,July,Q3
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,6272.0,86,72.93,2022,May,Q2
Karlen McCaffrey,USA,Milk Bars,2022-01-27,4389.0,7,627.0,2022,January,Q1
Karlen McCaffrey,India,Orange Choco,2022-06-27,3122.0,149,20.95,2022,June,Q2
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,8043.0,18,446.83,2022,August,Q3
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,11662.0,242,48.19,2022,August,Q3
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,392.0,102,3.84,2022,June,Q2
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,8925.0,158,56.49,2022,February,Q1
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,7294.0,128,56.98,2022,July,Q3
